Retailer,Invoice Date,Price per Unit,Units Sold,Total Sales,Operating Profit,Month,Day,profit_percentage,Competitor Price,Week,lag_price,lag_avg_price,E_d,Region_Northeast,Region_South,Region_Southeast,Region_West,State_Arkansas,State_Florida,State_Hawaii,State_Mississippi,State_New York,State_Texas,City_Honolulu,City_Houston,City_Jackson,City_Little Rock,City_New York,City_Orlando,Product_Men's Apparel,Product_Men's Athletic Footwear,Product_Men's Street Footwear,Product_Women's Apparel,Product_Women's Athletic Footwear,Product_Women's Street Footwear,Year_2020,Year_2021,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Sales Method_In-store,Sales Method_Online,Sales Method_Outlet
Walmart,2020-04-17,43.0,279,11997.0,0.008317130409073363,April,17,3.0,0.19190140845070422,16,43.0,0.4968553459119498,0.8543737444473888,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
Walmart,2020-04-17,54.0,270,14580.0,0.014047781345728998,April,17,4.0,0.2420774647887324,16,43.0,0.4968553459119498,0.8543737444473888,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
Walmart,2020-04-17,60.0,900,54000.0,0.41484687466636,April,17,30.0,0.47135083226632524,16,54.0,0.4968553459119498,0.8543737444473888,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
Walmart,2020-04-23,44.0,315,13860.0,0.013308640555833872,April,23,4.0,0.19190140845070422,17,44.0,0.5836477987421385,0.8445138969017166,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
Walmart,2020-04-23,58.0,252,14616.0,0.014084738385223753,April,23,4.0,0.2420774647887324,17,44.0,0.5836477987421385,0.8445138969017166,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
Walmart,2020-04-23,60.0,900,54000.0,0.41484687466636,April,23,30.0,0.47135083226632524,17,58.0,0.5836477987421385,0.8445138969017166,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
Walmart,2020-04-25,51.0,289,14739.0,0.01042830129021131,April,25,3.0,0.19190140845070422,17,60.0,0.5836477987421385,0.844224541594118,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
Walmart,2020-04-25,64.0,236,15104.0,0.01458571158726378,April,25,4.0,0.3036971830985916,17,51.0,0.5836477987421385,0.844224541594118,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
Walmart,2020-04-25,65.0,875,56875.0,0.43698260144707335,April,25,30.0,0.47135083226632524,17,64.0,0.5836477987421385,0.844224541594118,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
Walmart,2020-05-01,47.0,280,13160.0,0.012590031454546947,May,1,4.0,0.19190140845070422,18,47.0,0.5849056603773586,0.8442685197223221,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
