Retailer,Invoice Date,Price per Unit,Units Sold,Total Sales,Operating Profit,Month,Day,profit_percentage,Competitor Price,Week,lag_price,lag_avg_price,E_d,Region_Midwest,Region_Northeast,Region_South,Region_West,State_Arizona,State_California,State_Delaware,State_Kansas,State_Minnesota,State_Montana,State_New Jersey,State_New Mexico,State_New York,State_Oklahoma,State_Wyoming,City_Albany,City_Albuquerque,City_Billings,City_Cheyenne,City_Los Angeles,City_Minneapolis,City_Newark,City_Oklahoma City,City_Phoenix,City_San Francisco,City_Wichita,City_Wilmington,Product_Men's Apparel,Product_Men's Athletic Footwear,Product_Men's Street Footwear,Product_Women's Apparel,Product_Women's Athletic Footwear,Product_Women's Street Footwear,Year_2020,Year_2021,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Sales Method_In-store,Sales Method_Online,Sales Method_Outlet
Kohl's,2021-01-07,48.0,59,2832.0,0.0072986143480655965,January,7,7.0,0.7023121387283237,1,48.0,0.619047619047619,0.3960042624561908,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Kohl's,2021-01-07,50.0,225,11250.0,0.28492732742912835,January,7,60.0,0.7023121387283237,1,48.0,0.619047619047619,0.3960042624561908,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
Kohl's,2021-01-10,45.0,175,7875.0,0.09900843256070173,January,10,30.0,0.6693641618497109,1,50.0,0.619047619047619,0.39625756579930893,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
Kohl's,2021-01-10,41.0,47,1927.0,0.00216449849569897,January,10,4.0,0.6693641618497109,1,45.0,0.619047619047619,0.39625756579930893,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Kohl's,2021-01-13,48.0,60,2880.0,0.007440993262426375,January,13,7.0,0.5722543352601156,2,48.0,0.5416666666666667,0.3962507012235697,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Kohl's,2021-01-13,50.0,200,10000.0,0.2531463197593118,January,13,60.0,0.5722543352601156,2,48.0,0.5416666666666667,0.3962507012235697,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
Kohl's,2021-01-14,49.0,145,7105.0,0.013951862367049452,January,14,5.0,0.676300578034682,2,50.0,0.5416666666666667,0.3980267642648171,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Kohl's,2021-01-14,50.0,500,25000.0,0.31670833509894486,January,14,30.0,0.676300578034682,2,49.0,0.5416666666666667,0.3980267642648171,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
Kohl's,2021-01-16,35.0,250,8750.0,0.1286707063858638,January,16,35.0,0.8439306358381502,2,50.0,0.5416666666666667,0.39624865884597155,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Kohl's,2021-01-16,28.0,88,2464.0,0.0030747065553625155,January,16,4.0,0.8439306358381502,2,35.0,0.5416666666666667,0.39624865884597155,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
