Retailer,Invoice Date,Price per Unit,Units Sold,Total Sales,Operating Profit,Month,Day,profit_percentage,Competitor Price,Week,lag_price,lag_avg_price,E_d,Region_Midwest,Region_Northeast,Region_South,Region_Southeast,Region_West,State_Alabama,State_Alaska,State_Kentucky,State_Maine,State_Massachusetts,State_New Hampshire,State_North Carolina,State_Ohio,State_Vermont,City_Anchorage,City_Birmingham,City_Boston,City_Burlington,City_Charlotte,City_Columbus,City_Louisville,City_Manchester,City_Portland,Product_Men's Apparel,Product_Men's Athletic Footwear,Product_Men's Street Footwear,Product_Women's Apparel,Product_Women's Athletic Footwear,Product_Women's Street Footwear,Year_2020,Year_2021,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Sales Method_In-store,Sales Method_Online,Sales Method_Outlet
Amazon,2021-01-13,44.0,128,5632.0,0.00912212618252653,January,13,5.0,0.465079365079365,2,44.0,0.45251396648044695,0.37184180179411624,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Amazon,2021-01-13,45.0,475,21375.0,0.2569939399280999,January,13,35.0,0.465079365079365,2,44.0,0.45251396648044695,0.37184180179411624,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Amazon,2021-01-14,37.0,70,2590.0,0.00299388621992945,January,14,4.0,0.5555555555555556,2,45.0,0.45251396648044695,0.37139310243870466,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
Amazon,2021-01-14,52.0,68,3536.0,0.005514038833761507,January,14,5.0,0.5555555555555556,2,37.0,0.45251396648044695,0.37139310243870466,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Amazon,2021-01-14,55.0,225,12375.0,0.14854474957876956,January,14,35.0,0.5555555555555556,2,52.0,0.45251396648044695,0.37139310243870466,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
Amazon,2021-01-21,43.0,74,3182.0,0.002713639740741021,January,21,3.0,0.45238095238095244,3,43.0,0.6201117318435755,0.37151085523189176,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
Amazon,2021-01-21,59.0,56,3304.0,0.003977158879096711,January,21,4.0,0.6349206349206349,3,43.0,0.6201117318435755,0.37151085523189176,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Amazon,2021-01-21,60.0,225,13500.0,0.13886178615472222,January,21,30.0,0.3373015873015873,3,59.0,0.6201117318435755,0.37151085523189176,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
Amazon,2021-01-22,46.0,52,2392.0,0.003544739250275255,January,22,5.0,0.8439153439153441,3,60.0,0.6201117318435755,0.3715780620109771,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Amazon,2021-01-22,50.0,200,10000.0,0.11992621323658519,January,22,35.0,0.8439153439153441,3,46.0,0.6201117318435755,0.3715780620109771,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Amazon,2021-02-11,41.0,122,5002.0,0.008037634279033225,February,11,5.0,0.27248677248677255,6,41.0,0.44134078212290506,0.37122120089815686,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Amazon,2021-02-11,45.0,450,20250.0,0.24343779113443362,February,11,35.0,0.27248677248677255,6,41.0,0.44134078212290506,0.37122120089815686,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Amazon,2021-02-12,36.0,68,2448.0,0.0027983333941566887,February,12,4.0,0.5687830687830688,6,45.0,0.44134078212290506,0.37144170292734324,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
Amazon,2021-02-12,54.0,63,3402.0,0.0052833691273042015,February,12,5.0,0.5687830687830688,6,36.0,0.44134078212290506,0.37144170292734324,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Amazon,2021-02-12,55.0,225,12375.0,0.14854474957876956,February,12,35.0,0.5687830687830688,6,54.0,0.44134078212290506,0.37144170292734324,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
Amazon,2021-02-19,41.0,96,3936.0,0.0034924082123924034,February,19,3.0,0.8068783068783069,7,41.0,0.5418994413407822,0.3715953012724783,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
Amazon,2021-02-19,56.0,83,4648.0,0.005828025061058616,February,19,4.0,0.6904761904761905,7,41.0,0.5418994413407822,0.3715953012724783,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Amazon,2021-02-19,60.0,275,16500.0,0.16984726911167375,February,19,30.0,0.4460317460317461,7,56.0,0.5418994413407822,0.3715953012724783,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
Amazon,2021-02-22,60.0,75,4500.0,0.005624209439830667,February,22,4.0,0.45238095238095244,8,60.0,0.7467411545623835,0.37161678141812543,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Amazon,2021-02-22,48.0,54,2592.0,0.003889022394241382,February,22,5.0,0.45238095238095244,8,60.0,0.7467411545623835,0.37161678141812543,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Amazon,2021-02-22,65.0,250,16250.0,0.13929214008467988,February,22,25.0,0.45238095238095244,8,48.0,0.7467411545623835,0.37161678141812543,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
Amazon,2021-02-22,50.0,200,10000.0,0.11992621323658519,February,22,35.0,0.45238095238095244,8,65.0,0.7467411545623835,0.37161678141812543,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Amazon,2021-03-09,37.0,113,4181.0,0.0066243519730522695,March,9,5.0,0.4920634920634921,10,37.0,0.3743016759776536,0.3715273522258132,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-03-09,40.0,375,15000.0,0.18017576343065758,March,9,35.0,0.4920634920634921,10,37.0,0.3743016759776536,0.3715273522258132,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-03-10,36.0,56,2016.0,0.0022034121213832195,March,10,4.0,0.41428571428571437,10,40.0,0.3743016759776536,0.3714698868232287,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
Amazon,2021-03-10,51.0,47,2397.0,0.003553346328874408,March,10,5.0,0.41428571428571437,10,36.0,0.3743016759776536,0.3714698868232287,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-03-10,55.0,175,9625.0,0.11540749697202975,March,10,35.0,0.41428571428571437,10,51.0,0.3743016759776536,0.3714698868232287,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
Amazon,2021-03-17,58.0,60,3480.0,0.005417639553450991,March,17,5.0,0.4746031746031746,11,58.0,0.7579143389199255,0.37153759395098174,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-03-17,47.0,60,2820.0,0.002339748246393806,March,17,3.0,0.4746031746031746,11,58.0,0.7579143389199255,0.37153759395098174,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
Amazon,2021-03-17,60.0,200,12000.0,0.12336904467624646,March,17,30.0,0.4746031746031746,11,47.0,0.7579143389199255,0.37153759395098174,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
Amazon,2021-03-20,64.0,53,3392.0,0.004098346545772788,March,20,4.0,0.3857142857142857,11,60.0,0.7579143389199255,0.37147497646809485,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-03-20,65.0,175,11375.0,0.09733263191380803,March,20,25.0,0.3857142857142857,11,64.0,0.7579143389199255,0.37147497646809485,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
Amazon,2021-03-21,55.0,150,8250.0,0.09883887066865985,March,21,35.0,0.45238095238095244,11,65.0,0.7579143389199255,0.37153618722702475,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-03-21,52.0,44,2288.0,0.0033657120154128683,March,21,5.0,0.6904761904761905,11,55.0,0.7579143389199255,0.37153618722702475,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-04-10,42.0,101,4242.0,0.006729358331961939,April,10,5.0,0.6944444444444444,14,42.0,0.4804469273743016,0.371327611868855,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-04-10,45.0,375,16875.0,0.20276934475343472,April,10,35.0,0.6944444444444444,14,42.0,0.4804469273743016,0.371327611868855,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-04-11,55.0,150,8250.0,0.09883887066865985,April,11,35.0,0.41666666666666663,14,45.0,0.4804469273743016,0.37142096600554364,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
Amazon,2021-04-11,41.0,53,2173.0,0.0024196219357939482,April,11,4.0,0.41666666666666663,14,55.0,0.4804469273743016,0.37142096600554364,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
Amazon,2021-04-11,51.0,38,1938.0,0.002763216513472144,April,11,5.0,0.41666666666666663,14,41.0,0.4804469273743016,0.37142096600554364,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-04-18,40.0,61,2440.0,0.0019472654622724205,April,18,3.0,0.373015873015873,15,40.0,0.5418994413407822,0.37158569343604453,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
Amazon,2021-04-18,57.0,53,3021.0,0.004627509738048727,April,18,5.0,0.373015873015873,15,40.0,0.5418994413407822,0.37158569343604453,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-04-18,60.0,175,10500.0,0.1078763031977707,April,18,30.0,0.373015873015873,15,57.0,0.5418994413407822,0.37158569343604453,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
Amazon,2021-04-21,60.0,150,9000.0,0.07689082024081918,April,21,25.0,0.45238095238095244,16,60.0,0.6945996275605214,0.3714396027334157,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
Amazon,2021-04-21,56.0,41,2296.0,0.002589009242625283,April,21,4.0,0.45238095238095244,16,60.0,0.6945996275605214,0.3714396027334157,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-04-22,50.0,125,6250.0,0.07473905059103088,April,22,35.0,0.7169312169312169,16,56.0,0.6945996275605214,0.3715389960843768,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-04-22,47.0,35,1645.0,0.0022588417075617663,April,22,5.0,0.7169312169312169,16,50.0,0.6945996275605214,0.3715389960843768,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-05-09,49.0,126,6174.0,0.010055133502674738,May,9,5.0,0.465079365079365,18,49.0,0.5530726256983239,0.3745553008464849,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-05-09,50.0,450,22500.0,0.27055008872176617,May,9,35.0,0.27248677248677255,18,49.0,0.5530726256983239,0.3745553008464849,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
Amazon,2021-05-10,46.0,91,4186.0,0.005191789811009211,May,10,4.0,0.5277777777777778,19,46.0,0.5865921787709497,0.3714464845541038,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
